"ID","Manufacturer","Country","Continent","Modell","Sales","Sales_2cl","Sales_grouped","Resaleprice","Type","Purchase_price","Purchase_3cl","Capacity","HP","Wheelbase","Width","Length","Weight","Ranking","Year"
30,"Chrysler","USA","USA","LHS",13.462,"Up to 30.000","10.000 up to 20.000",17.325,"PKW",28.34,"20.000 up to 30.000",3.5,253,113,74.4,207.7,3.564,7.6,1999
31,"Chrysler","USA","USA","Sebring Conv.",32.775,"30.000 and more","30.000 up to 40.000",14.18,"PKW",24.495,"20.000 up to 30.000",2.5,168,106,69.2,193,3.332,6.9,1998
32,"Chrysler","USA","USA","Concorde",31.148,"30.000 and more","30.000 up to 40.000",13.725,"PKW",22.245,"20.000 up to 30.000",2.7,200,113,74.4,209.1,3.452,6,1996
33,"Chrysler","USA","USA","Sebring Coupe",7.854,"Up to 30.000","5.000 up to 10.000",12.36,"PKW",19.84,"Up to 20.000",2.5,163,103.7,69.7,190.9,2.967,5.1,1997
34,"Chrysler","USA","USA","Cirrus",32.306,"30.000 and more","30.000 up to 40.000",12.64,"PKW",16.48,"Up to 20.000",2,132,108,71,186,2.911,6.4,1995
35,"Chrysler","USA","USA","Town & Country",53.48,"30.000 and more","40.000 up to 60.000",19.54,"SUV",NA,NA,NA,NA,NA,NA,NA,NA,6,1990
36,"Dodge","USA","USA","Viper",0.916,"Up to 30.000","Up to 5.000",58.47,"PKW",69.725,"30.000 and more",8,450,96.2,75.7,176.7,3.375,7.4,1992
37,"Dodge","USA","USA","Durango",101.323,"30.000 and more","100.000 and more",NA,"SUV",26.31,"20.000 up to 30.000",5.2,230,115.7,71.7,193.5,4.394,6.4,1998
38,"Dodge","USA","USA","Intrepid",88.028,"30.000 and more","80.000 up to 100.000",12.275,"PKW",22.505,"20.000 up to 30.000",2.7,202,113,74.7,203.7,3.489,8.3,1997
39,"Dodge","USA","USA","Ram Wagon",16.767,"Up to 30.000","10.000 up to 20.000",15.51,"SUV",21.315,"20.000 up to 30.000",3.9,175,109.6,78.8,192.6,4.245,6.5,1971
40,"Dodge","USA","USA","Stratus",71.186,"30.000 and more","60.000 up to 80.000",10.185,"PKW",20.23,"20.000 up to 30.000",2.5,168,108,71,186,3.058,6.8,1995
41,"Dodge","USA","USA","Caravan",181.749,"30.000 and more","100.000 and more",12.025,"SUV",19.565,"Up to 20.000",2.4,150,113.3,76.8,186.3,3.533,5.6,1995
42,"Dodge","USA","USA","Ram Pickup",227.061,"30.000 and more","100.000 and more",15.06,"SUV",19.46,"Up to 20.000",5.2,230,138.7,79.3,224.2,4.47,4.8,1990
43,"Dodge","USA","USA","Avenger",4.734,"Up to 30.000","Up to 5.000",12.545,"PKW",19.045,"Up to 20.000",2.5,163,103.7,69.1,190.2,2.879,6.6,1995
44,"Dodge","USA","USA","Ram Van",31.038,"30.000 and more","30.000 up to 40.000",13.425,"SUV",18.575,"Up to 20.000",3.9,175,127.2,78.8,208.5,4.298,7.9,1971
45,"Dodge","USA","USA","Neon",76.034,"30.000 and more","60.000 up to 80.000",7.75,"PKW",12.64,"Up to 20.000",2,132,105,74.4,174.4,2.567,8.7,1999
46,"Ford","USA","USA","Expedition",125.338,"30.000 and more","100.000 and more",23.575,"SUV",36.135,"30.000 and more",4.6,240,119,78.7,204.6,4.808,7.9,1997
47,"Ford","USA","USA","Explorer",276.747,"30.000 and more","100.000 and more",16.64,"SUV",31.93,"30.000 and more",4,210,111.6,70.2,190.7,3.876,7.9,1995
48,"Ford","USA","USA","F-Series",80.62,"30.000 and more","80.000 up to 100.000",15.075,"SUV",26.935,"20.000 up to 30.000",4.6,220,138.5,79.1,224.5,4.241,6.9,1996
49,"Ford","USA","USA","Crown Victoria",63.403,"30.000 and more","60.000 up to 80.000",14.21,"PKW",22.195,"20.000 up to 30.000",4.6,200,114.7,78.2,212,3.908,8.2,1997
50,"Ford","USA","USA","Mustang",113.369,"30.000 and more","100.000 and more",12.76,"PKW",21.56,"20.000 up to 30.000",3.8,190,101.3,73.1,183.2,3.203,6.8,1994
51,"Ford","USA","USA","Windstar",155.787,"30.000 and more","100.000 and more",13.175,"SUV",21.41,"20.000 up to 30.000",3,150,120.7,76.6,200.9,3.761,6.7,1999
52,"Ford","USA","USA","Taurus",245.815,"30.000 and more","100.000 and more",10.055,"PKW",17.885,"Up to 20.000",3,155,108.5,73,197.6,3.368,4.6,1995
53,"Ford","USA","USA","Contour",35.068,"30.000 and more","30.000 up to 40.000",8.835,"PKW",17.035,"Up to 20.000",2.5,170,106.5,69.1,184.6,2.769,6.7,1994
54,"Ford","USA","USA","Focus",175.67,"30.000 and more","100.000 and more",NA,"PKW",12.315,"Up to 20.000",2,107,103,66.9,174.8,2.564,6.1,1998
55,"Ford","USA","USA","Escort",70.227,"30.000 and more","60.000 up to 80.000",7.425,"PKW",12.07,"Up to 20.000",2,110,98.4,67,174.7,2.468,7.2,1995
56,"Ford","USA","USA","Ranger",220.65,"30.000 and more","100.000 and more",7.85,"SUV",12.05,"Up to 20.000",2.5,119,117.5,69.4,200.7,3.086,5,1998
57,"Honda","Japan","Asia","Passport",12.855,"Up to 30.000","10.000 up to 20.000",17.525,"SUV",26.6,"20.000 up to 30.000",3.2,205,106.4,70.4,178.2,3.857,5.3,1998
58,"Honda","Japan","Asia","Odyssey",76.029,"30.000 and more","60.000 up to 80.000",19.49,"SUV",26,"20.000 up to 30.000",3.5,210,118.1,75.6,201.2,4.288,7,1995
59,"Honda","Japan","Asia","CR-V",73.203,"30.000 and more","60.000 up to 80.000",17.71,"SUV",20.55,"20.000 up to 30.000",2,146,103.2,68.9,177.6,3.219,7.4,1996
60,"Honda","Japan","Asia","Accord",230.902,"30.000 and more","100.000 and more",13.21,"PKW",15.35,"Up to 20.000",2.3,135,106.9,70.3,188.8,2.932,8,1997
61,"Honda","Japan","Asia","Civic",199.685,"30.000 and more","100.000 and more",9.85,"PKW",12.885,"Up to 20.000",1.6,106,103.2,67.1,175.1,2.339,5,1995
62,"Hyundai","Other","Asia","Sonata",29.45,"Up to 30.000","20.000 up to 30.000",8.91,"PKW",14.999,"Up to 20.000",2.4,148,106.3,71.6,185.4,3.072,6.4,1998
63,"Hyundai","Other","Asia","Elantra",66.692,"30.000 and more","60.000 up to 80.000",7.825,"PKW",11.799,"Up to 20.000",2,140,100.4,66.9,174,2.626,7.4,2000
64,"Hyundai","Other","Asia","Accent",41.184,"30.000 and more","40.000 up to 60.000",5.86,"PKW",9.699,"Up to 20.000",1.5,92,96.1,65.7,166.7,2.24,6.1,1994
65,"Infiniti","USA","USA","I30",23.713,"Up to 30.000","20.000 up to 30.000",19.69,"PKW",29.465,"20.000 up to 30.000",3,227,108.3,70.2,193.7,3.342,5.8,1999
66,"Jaguar","Other","Europe","S-Type",15.467,"Up to 30.000","10.000 up to 20.000",NA,"PKW",42.8,"30.000 and more",3,240,114.5,71.6,191.3,3.65,7.1,1999
67,"Jeep","USA","USA","Grand Cherokee",157.04,"30.000 and more","100.000 and more",18.81,"SUV",26.895,"20.000 up to 30.000",4,195,105.9,72.3,181.5,3.88,9.1,1999
68,"Jeep","USA","USA","Cherokee",80.556,"30.000 and more","80.000 up to 100.000",13.775,"SUV",21.62,"20.000 up to 30.000",4,190,101.4,69.4,167.5,3.194,8.8,1984
69,"Jeep","USA","USA","Wrangler",55.557,"30.000 and more","40.000 up to 60.000",13.475,"SUV",14.46,"Up to 20.000",2.5,120,93.4,66.7,152,3.045,7,1997
70,"Lexus","Japan","Asia","LX470",9.126,"Up to 30.000","5.000 up to 10.000",NA,"SUV",60.105,"30.000 and more",4.7,230,112.2,76.4,192.5,5.401,7.4,1998
71,"Lexus","Japan","Asia","LS400",6.375,"Up to 30.000","5.000 up to 10.000",40.375,"PKW",54.005,"30.000 and more",4,290,112.2,72,196.7,3.89,6.3,1994
72,"Lexus","Japan","Asia","GS400",3.334,"Up to 30.000","Up to 5.000",NA,"PKW",46.305,"30.000 and more",4,300,110.2,70.9,189.2,3.693,8,1997
73,"Lexus","Japan","Asia","GS300",12.698,"Up to 30.000","10.000 up to 20.000",32.075,"PKW",37.805,"30.000 and more",3,225,110.2,70.9,189.2,3.638,6.9,1991
74,"Lexus","Japan","Asia","RX300",51.238,"30.000 and more","40.000 up to 60.000",NA,"SUV",34.605,"30.000 and more",3,220,103,71.5,180.1,3.9,6.5,1997
75,"Lexus","Japan","Asia","ES300",24.072,"Up to 30.000","20.000 up to 30.000",26.975,"PKW",31.505,"30.000 and more",3,210,105.1,70.5,190.2,3.373,5.9,1996
76,"Lincoln","USA","USA","Town car",48.911,"30.000 and more","40.000 up to 60.000",21.725,"PKW",43.33,"30.000 and more",4.6,215,117.7,78.2,215.3,4.121,8.8,1998
77,"Lincoln","USA","USA","Navigator",22.925,"Up to 30.000","20.000 up to 30.000",NA,"SUV",42.66,"30.000 and more",5.4,300,119,79.9,204.8,5.393,5.8,1997
78,"Lincoln","USA","USA","Continental",13.798,"Up to 30.000","10.000 up to 20.000",20.525,"PKW",39.08,"30.000 and more",4.6,275,109,73.6,208.5,3.868,5.3,1997
79,"Mercedes-Benz","Germany","Europe","CL500",0.954,"Up to 30.000","Up to 5.000",NA,"PKW",85.5,"30.000 and more",5,302,113.6,73.1,196.6,4.115,5.7,1996
80,"Mercedes-Benz","Germany","Europe","SL-Class",3.311,"Up to 30.000","Up to 5.000",58.6,"PKW",82.6,"30.000 and more",5,302,99,71.3,177.1,4.125,5.6,1995
81,"Mercedes-Benz","Germany","Europe","S-Class",16.774,"Up to 30.000","10.000 up to 20.000",50.375,"PKW",69.7,"30.000 and more",4.3,275,121.5,73.1,203.1,4.133,6.1,1998
82,"Mercedes-Benz","Germany","Europe","E-Class",27.602,"Up to 30.000","20.000 up to 30.000",41.45,"PKW",49.9,"30.000 and more",3.2,221,111.5,70.8,189.4,3.823,5.1,1995
83,"Mercedes-Benz","Germany","Europe","CLK Coupe",11.592,"Up to 30.000","10.000 up to 20.000",NA,"PKW",41.6,"30.000 and more",3.2,215,105.9,67.8,180.3,3.213,5.4,1997
84,"Mercedes-Benz","Germany","Europe","SLK230",1.526,"Up to 30.000","Up to 5.000",NA,"PKW",41,"30.000 and more",2.3,185,94.5,67.5,157.3,2.975,7.1,1996
85,"Mercedes-Benz","Germany","Europe","SLK",7.998,"Up to 30.000","5.000 up to 10.000",NA,"PKW",38.9,"30.000 and more",2.3,190,94.5,67.5,157.9,3.055,6.4,1996
86,"Mercedes-Benz","Germany","Europe","M-Class",28.976,"Up to 30.000","20.000 up to 30.000",NA,"SUV",35.3,"30.000 and more",3.2,215,111,72.2,180.6,4.387,3.7,1997
87,"Mercedes-Benz","Germany","Europe","C-Class",18.392,"Up to 30.000","10.000 up to 20.000",26.05,"PKW",31.75,"30.000 and more",2.3,185,105.9,67.7,177.4,3.25,6.1,1996
88,"Mercury","USA","USA","Mountaineer",27.609,"Up to 30.000","20.000 up to 30.000",20.43,"SUV",27.56,"20.000 up to 30.000",4,210,111.6,70.2,190.1,3.876,5.6,1996
89,"Mercury","USA","USA","Grand Marquis",81.174,"30.000 and more","80.000 up to 100.000",14.875,"PKW",22.605,"20.000 up to 30.000",4.6,200,114.7,78.2,212,3.958,3.8,1997
90,"Mercury","USA","USA","Villager",20.38,"Up to 30.000","20.000 up to 30.000",14.795,"SUV",22.51,"20.000 up to 30.000",3.3,170,112.2,74.9,194.7,3.944,8,1999
91,"Mercury","USA","USA","Sable",67.956,"30.000 and more","60.000 up to 80.000",11.03,"PKW",19.035,"Up to 20.000",3,153,108.5,73,199.7,3.379,7.7,1995
92,"Mercury","USA","USA","Cougar",26.529,"Up to 30.000","20.000 up to 30.000",13.89,"PKW",16.54,"Up to 20.000",2,125,106.4,69.6,185,2.892,7,1998
93,"Mercury","USA","USA","Mystique",14.351,"Up to 30.000","10.000 up to 20.000",8.8,"PKW",16.24,"Up to 20.000",2,125,106.5,69.1,184.8,2.769,8.2,1997
94,"Mitsubishi","Japan","Asia","Montero",11.337,"Up to 30.000","10.000 up to 20.000",19.125,"SUV",31.807,"30.000 and more",3.5,200,107.3,69.9,186.6,4.52,6.7,2000
95,"Mitsubishi","Japan","Asia","3000GT",0.11,"Up to 30.000","Up to 5.000",20.94,"PKW",25.45,"20.000 up to 30.000",3,161,97.2,72.4,180.3,3.131,4.5,1994
96,"Mitsubishi","Japan","Asia","Diamante",5.711,"Up to 30.000","5.000 up to 10.000",16.575,"PKW",24.997,"20.000 up to 30.000",3.5,210,107.1,70.3,194.1,3.443,6.9,1996
97,"Mitsubishi","Japan","Asia","Montero Sport",39.348,"30.000 and more","30.000 up to 40.000",13.88,"SUV",22.527,"20.000 up to 30.000",3,173,107.3,66.7,178.3,3.51,3.9,1995
98,"Mitsubishi","Japan","Asia","Eclipse",42.541,"30.000 and more","40.000 up to 60.000",10.395,"PKW",19.047,"Up to 20.000",2.4,154,100.8,68.9,175.4,2.91,6.7,2000
99,"Mitsubishi","Japan","Asia","Galant",55.616,"30.000 and more","40.000 up to 60.000",10.595,"PKW",17.357,"Up to 20.000",2.4,145,103.7,68.5,187.8,2.945,5.8,1996
100,"Mitsubishi","Japan","Asia","Mirage",26.232,"Up to 30.000","20.000 up to 30.000",8.325,"PKW",13.987,"Up to 20.000",1.8,113,98.4,66.5,173.6,2.25,5.8,1991
101,"Nissan","Japan","Asia","Pathfinder",42.574,"30.000 and more","40.000 up to 60.000",17.81,"SUV",29.299,"20.000 up to 30.000",3.3,170,106.3,71.7,182.6,3.947,7,1995
102,"Nissan","Japan","Asia","Quest",27.308,"Up to 30.000","20.000 up to 30.000",15.38,"SUV",26.399,"20.000 up to 30.000",3.3,170,112.2,74.9,194.8,3.991,5.9,1999
103,"Nissan","Japan","Asia","Maxima",79.853,"30.000 and more","60.000 up to 80.000",15.125,"PKW",26.249,"20.000 up to 30.000",3,222,108.3,70.3,190.5,3.294,4.4,1995
104,"Nissan","Japan","Asia","Xterra",54.158,"30.000 and more","40.000 up to 60.000",NA,"SUV",22.799,"20.000 up to 30.000",3.3,170,104.3,70.4,178,3.821,7.2,2000
105,"Nissan","Japan","Asia","Altima",88.094,"30.000 and more","80.000 up to 100.000",11.295,"PKW",20.39,"20.000 up to 30.000",2.4,155,103.1,69.1,183.5,3.012,4.6,1997
106,"Nissan","Japan","Asia","Frontier",65.005,"30.000 and more","60.000 up to 80.000",NA,"SUV",17.89,"Up to 20.000",3.3,170,116.1,66.5,196.1,3.217,5.5,1998
107,"Nissan","Japan","Asia","Sentra",42.643,"30.000 and more","40.000 up to 60.000",8.45,"PKW",13.499,"Up to 20.000",1.8,126,99.8,67.3,177.5,2.593,6.8,1998
108,"Oldsmobile","USA","USA","Aurora",14.69,"Up to 30.000","10.000 up to 20.000",19.89,"PKW",36.229,"30.000 and more",4,250,113.8,74.4,205.4,3.967,7.1,1999
109,"Oldsmobile","USA","USA","Bravada",20.017,"Up to 30.000","20.000 up to 30.000",19.925,"SUV",31.598,"30.000 and more",4.3,190,107,67.8,181.2,4.068,4.4,1997
110,"Oldsmobile","USA","USA","Silhouette",24.361,"Up to 30.000","20.000 up to 30.000",15.24,"SUV",25.345,"20.000 up to 30.000",3.4,185,120,72.2,201.4,3.948,6.4,1996
111,"Oldsmobile","USA","USA","Intrigue",38.554,"30.000 and more","30.000 up to 40.000",NA,"PKW",24.15,"20.000 up to 30.000",3.5,215,109,73.6,195.9,3.455,5.3,1997
112,"Oldsmobile","USA","USA","Alero",80.255,"30.000 and more","80.000 up to 100.000",NA,"PKW",18.27,"Up to 20.000",2.4,150,107,70.1,186.7,2.958,5.2,1998
113,"Oldsmobile","USA","USA","Cutlass",1.112,"Up to 30.000","Up to 5.000",11.24,"PKW",18.145,"Up to 20.000",3.1,150,107,69.4,192,3.102,6.7,1997
114,"Plymouth","USA","USA","Prowler",1.872,"Up to 30.000","Up to 5.000",NA,"PKW",43,"30.000 and more",3.5,253,113.3,76.3,165.4,2.85,5.9,1997
115,"Plymouth","USA","USA","Voyager",24.155,"Up to 30.000","20.000 up to 30.000",12.025,"SUV",18.85,"Up to 20.000",2.4,150,113.3,76.8,186.3,3.528,6.5,1996
116,"Plymouth","USA","USA","Breeze",5.24,"Up to 30.000","5.000 up to 10.000",9.8,"PKW",16.08,"Up to 20.000",2,132,108,71,186.3,2.942,8.1,1996
117,"Plymouth","USA","USA","Neon",32.734,"30.000 and more","30.000 up to 40.000",7.75,"PKW",12.64,"Up to 20.000",2,132,105,74.4,174.4,2.559,7.5,1999
118,"Pontiac","USA","USA","Montana",39.572,"30.000 and more","30.000 up to 40.000",NA,"SUV",25.635,"20.000 up to 30.000",3.4,185,120,72.7,201.3,3.942,5.4,1999
119,"Pontiac","USA","USA","Firebird",19.911,"Up to 30.000","10.000 up to 20.000",17.805,"PKW",25.31,"20.000 up to 30.000",3.8,200,101.1,74.5,193.4,3.492,5.8,1998
120,"Pontiac","USA","USA","Bonneville",35.945,"30.000 and more","30.000 up to 40.000",13.225,"PKW",23.755,"20.000 up to 30.000",3.8,205,112.2,72.6,202.5,3.59,3.9,1987
121,"Pontiac","USA","USA","Grand Prix",92.364,"30.000 and more","80.000 up to 100.000",14.01,"PKW",21.665,"20.000 up to 30.000",3.8,195,110.5,72.7,196.5,3.396,7.4,1996
122,"Pontiac","USA","USA","Sunfire",51.645,"30.000 and more","40.000 up to 60.000",13.79,"PKW",21.61,"20.000 up to 30.000",2.4,150,104.1,68.4,181.9,2.906,5.7,1996
123,"Pontiac","USA","USA","Grand Am",131.097,"30.000 and more","100.000 and more",10.29,"PKW",19.72,"Up to 20.000",3.4,175,107,70.4,186.3,3.091,6.1,1998
124,"Porsche","Germany","Europe","Carrera Cabriolet",1.866,"Up to 30.000","Up to 5.000",67.55,"PKW",74.97,"30.000 and more",3.4,300,92.6,69.5,174.5,3.075,4.9,1997
125,"Porsche","Germany","Europe","Carrera Coupe",1.28,"Up to 30.000","Up to 5.000",60.625,"PKW",71.02,"30.000 and more",3.4,300,92.6,69.5,174.5,3.032,9.1,1997
126,"Porsche","Germany","Europe","Boxter",8.982,"Up to 30.000","5.000 up to 10.000",41.25,"PKW",41.43,"30.000 and more",2.7,217,95.2,70.1,171,2.778,3.3,1996
127,"Saab","Other","Europe","9-5",9.191,"Up to 30.000","5.000 up to 10.000",NA,"PKW",33.12,"30.000 and more",2.3,170,106.4,70.6,189.2,3.28,5.6,1999
128,"Saab","Other","Europe","9-3",12.115,"Up to 30.000","10.000 up to 20.000",NA,"PKW",26.1,"20.000 up to 30.000",2,185,102.6,67.4,182.2,2.99,7,1998
129,"Saturn","USA","USA","LW",8.472,"Up to 30.000","5.000 up to 10.000",NA,"PKW",18.835,"Up to 20.000",2.2,137,106.5,69,190.4,3.075,9.9,1999
130,"Saturn","USA","USA","LS",49.989,"30.000 and more","40.000 up to 60.000",NA,"PKW",15.01,"Up to 20.000",2.2,137,106.5,69,190.4,2.91,6.7,1999
131,"Saturn","USA","USA","SW",5.223,"Up to 30.000","5.000 up to 10.000",10.79,"PKW",14.29,"Up to 20.000",1.9,124,102.4,66.4,176.9,2.452,7.2,1995
132,"Saturn","USA","USA","SC",24.546,"Up to 30.000","20.000 up to 30.000",10.59,"PKW",12.535,"Up to 20.000",1.9,100,102.4,66.4,180,2.367,7.1,1996
133,"Saturn","USA","USA","SL",80.62,"30.000 and more","80.000 up to 100.000",9.2,"PKW",10.685,"Up to 20.000",1.9,100,102.4,66.4,176.9,2.332,8.5,1995
134,"Subaru","Japan","Asia","Outback",47.107,"30.000 and more","40.000 up to 60.000",NA,"PKW",22.695,"20.000 up to 30.000",2.5,165,103.5,67.5,185.8,3.415,5.8,1999
135,"Subaru","Japan","Asia","Forester",33.028,"30.000 and more","30.000 up to 40.000",NA,"SUV",20.095,"20.000 up to 30.000",2.5,165,99.4,68.3,175.2,3.125,6.3,1997
136,"Toyota","Japan","Asia","Land Cruiser",9.835,"Up to 30.000","5.000 up to 10.000",34.08,"SUV",51.728,"30.000 and more",4.7,230,112.2,76.4,192.5,5.115,4,1998
137,"Toyota","Japan","Asia","Avalon",63.849,"30.000 and more","60.000 up to 80.000",18.14,"PKW",25.545,"20.000 up to 30.000",3,210,107.1,71.7,191.9,3.417,7,1995
138,"Toyota","Japan","Asia","Sienna",65.119,"30.000 and more","60.000 up to 80.000",NA,"SUV",22.368,"20.000 up to 30.000",3,194,114.2,73.4,193.5,3.759,5.1,1998
139,"Toyota","Japan","Asia","4Runner",68.411,"30.000 and more","60.000 up to 80.000",19.425,"SUV",22.288,"20.000 up to 30.000",2.7,150,105.3,66.5,183.3,3.44,6.7,1995
140,"Toyota","Japan","Asia","Camry",247.994,"30.000 and more","100.000 and more",13.245,"PKW",17.518,"Up to 20.000",2.2,133,105.2,70.1,188.5,2.998,5.9,1996
141,"Toyota","Japan","Asia","RAV4",25.106,"Up to 30.000","20.000 up to 30.000",13.325,"SUV",16.888,"Up to 20.000",2,127,94.9,66.7,163.8,2.668,5.3,1997
142,"Toyota","Japan","Asia","Celica",33.269,"30.000 and more","30.000 up to 40.000",15.445,"PKW",16.875,"Up to 20.000",1.8,140,102.4,68.3,170.5,2.425,6.2,1999
143,"Toyota","Japan","Asia","Tacoma",84.087,"30.000 and more","80.000 up to 100.000",9.575,"SUV",11.528,"Up to 20.000",2.4,142,103.3,66.5,178.7,2.58,8.9,1995
144,"Volkswagen","Germany","Europe","Passat",51.102,"30.000 and more","40.000 up to 60.000",16.725,"PKW",21.2,"20.000 up to 30.000",1.8,150,106.4,68.5,184.1,3.043,6.3,1996
145,"Volkswagen","Germany","Europe","Cabrio",9.569,"Up to 30.000","5.000 up to 10.000",16.575,"PKW",19.99,"Up to 20.000",2,115,97.4,66.7,160.4,3.079,4.5,1995
146,"Volkswagen","Germany","Europe","GTI",5.596,"Up to 30.000","5.000 up to 10.000",13.76,"PKW",17.5,"Up to 20.000",2,115,98.9,68.3,163.3,2.762,5.4,1997
147,"Volkswagen","Germany","Europe","Jetta",83.721,"30.000 and more","80.000 up to 100.000",13.24,"PKW",16.7,"Up to 20.000",2,115,98.9,68.3,172.3,2.853,4.9,1998
148,"Volkswagen","Germany","Europe","Beetle",49.463,"30.000 and more","40.000 up to 60.000",NA,"PKW",15.9,"Up to 20.000",2,115,98.9,67.9,161.1,2.769,6.6,1985
