"ID";"Manufacturer";"Country";"Continent";"Modell";"Sales";"Sales_2cl";"Sales_grouped";"Resaleprice";"Type";"Purchase_price";"Purchase_3cl";"Capacity";"HP";"HP_3cl";"Wheelbase";"Width";"Length";"Weight";"Ranking";"Year"
12;"Buick";"USA";"USA";"LeSabre";83.257;"30.000 and more";"80.000 up to 100.000";13.36;"PKW";27.885;"20.000 up to 30.000";3.8;205;"155-210 PS";112.2;186.69;200;3.591;6.63;1958
13;"Buick";"USA";"USA";"Regal";39.35;"30.000 and more";"30.000 up to 40.000";13.74;"PKW";25.3;"20.000 up to 30.000";3.8;240;"mehr als 210 PS";109;184.658;196.2;3.543;5.355;1973
14;"Buick";"USA";"USA";"Century";91.561;"30.000 and more";"80.000 up to 100.000";12.475;"PKW";21.975;"20.000 up to 30.000";3.1;175;"155-210 PS";109;184.658;194.6;3.368;5.27;1973
15;"Cadillac";"USA";"USA";"Escalade";14.785;"Up to 30.000";"10.000 up to 20.000";Auto;"SUV";46.225;"30.000 and more";5.7;255;"mehr als 210 PS";117.5;195.58;201.2;5.572;4.335;1999
16;"Cadillac";"USA";"USA";"Seville";15.943;"Up to 30.000";"10.000 up to 20.000";27.1;"PKW";44.475;"30.000 and more";4.6;275;"mehr als 210 PS";112.2;190.5;201;Auto;4.25;1997
17;"Cadillac";"USA";"USA";"DeVille";63.729;"30.000 and more";"60.000 up to 80.000";22.525;"PKW";39.895;"30.000 and more";4.6;275;"mehr als 210 PS";115.3;189.23;207.2;3.978;4.59;1999
18;"Cadillac";"USA";"USA";"Eldorado";6.536;"Up to 30.000";"5.000 up to 10.000";25.725;"PKW";39.665;"30.000 and more";4.6;275;"mehr als 210 PS";108;191.77;200.6;3.843;6.8;1991
19;"Cadillac";"USA";"USA";"Catera";11.185;"Up to 30.000";"10.000 up to 20.000";18.225;"PKW";31.01;"30.000 and more";3;200;"155-210 PS";107.4;178.562;194.8;3.77;5.95;1996
20;"Chevrolet";"USA";"USA";"Corvette";17.947;"Up to 30.000";"10.000 up to 20.000";36.225;"PKW";45.705;"30.000 and more";5.7;345;"mehr als 210 PS";104.5;186.944;179.7;3.21;5.525;1997
21;"Chevrolet";"USA";"USA";"Camaro";26.402;"Up to 30.000";"20.000 up to 30.000";13.025;"PKW";24.34;"20.000 up to 30.000";3.8;200;"155-210 PS";101.1;188.214;193.2;3.5;4.93;1998
22;"Chevrolet";"USA";"USA";"Monte Carlo";42.593;"30.000 and more";"40.000 up to 60.000";11.525;"PKW";19.39;"Up to 20.000";3.4;180;"155-210 PS";110.5;184.658;197.9;3.34;4.505;1995
23;"Chevrolet";"USA";"USA";"Lumina";24.629;"Up to 30.000";"20.000 up to 30.000";10.31;"PKW";18.89;"Up to 20.000";3.1;175;"155-210 PS";107.5;184.15;200.9;3.33;4.845;1994
24;"Chevrolet";"USA";"USA";"Impala";107.995;"30.000 and more";"100.000 and more";Auto;"PKW";18.89;"Up to 20.000";3.4;180;"155-210 PS";110.5;185.42;200;3.389;5.1;1999
25;"Chevrolet";"USA";"USA";"Malibu";135.126;"30.000 and more";"100.000 and more";11.225;"PKW";16.535;"Up to 20.000";3.1;170;"155-210 PS";107;176.276;190.4;3.051;5.525;1997
26;"Chevrolet";"USA";"USA";"Prizm";32.299;"30.000 and more";"30.000 up to 40.000";9.125;"PKW";13.96;"Up to 20.000";1.8;120;"unter 155 PS";97.1;169.418;174.3;2.398;5.27;1998
27;"Chevrolet";"USA";"USA";"Cavalier";145.519;"30.000 and more";"100.000 and more";9.25;"PKW";13.26;"Up to 20.000";2.2;115;"unter 155 PS";104.1;172.466;180.9;2.676;5.865;1994
28;"Chevrolet";"USA";"USA";"Metro";21.855;"Up to 30.000";"20.000 up to 30.000";5.16;"PKW";9.235;"Up to 20.000";1;55;"unter 155 PS";93.1;159.004;149.4;1.895;6.035;1998
29;"Chrysler";"USA";"USA";"300M";30.696;"30.000 and more";"30.000 up to 40.000";Auto;"PKW";29.185;"20.000 up to 30.000";3.5;253;"mehr als 210 PS";113;188.976;197.8;3.567;7.055;1995
30;"Chrysler";"USA";"USA";"LHS";13.462;"Up to 30.000";"10.000 up to 20.000";17.325;"PKW";28.34;"20.000 up to 30.000";3.5;253;"mehr als 210 PS";113;188.976;207.7;3.564;6.46;1999
31;"Chrysler";"USA";"USA";"Sebring Conv.";32.775;"30.000 and more";"30.000 up to 40.000";14.18;"PKW";24.495;"20.000 up to 30.000";2.5;168;"155-210 PS";106;175.768;193;3.332;5.865;1998
32;"Chrysler";"USA";"USA";"Concorde";31.148;"30.000 and more";"30.000 up to 40.000";13.725;"PKW";22.245;"20.000 up to 30.000";2.7;200;"155-210 PS";113;188.976;209.1;3.452;5.1;1996
33;"Chrysler";"USA";"USA";"Sebring Coupe";7.854;"Up to 30.000";"5.000 up to 10.000";12.36;"PKW";19.84;"Up to 20.000";2.5;163;"155-210 PS";103.7;177.038;190.9;2.967;4.335;1997
34;"Chrysler";"USA";"USA";"Cirrus";32.306;"30.000 and more";"30.000 up to 40.000";12.64;"PKW";16.48;"Up to 20.000";2;132;"unter 155 PS";108;180.34;186;2.911;5.44;1995
36;"Dodge";"USA";"USA";"Viper";0.916;"Up to 30.000";"Up to 5.000";58.47;"PKW";69.725;"30.000 and more";8;450;"mehr als 210 PS";96.2;192.278;176.7;3.375;6.29;1992
37;"Dodge";"USA";"USA";"Durango";101.323;"30.000 and more";"100.000 and more";Auto;"SUV";26.31;"20.000 up to 30.000";5.2;230;"mehr als 210 PS";115.7;182.118;193.5;4.394;5.44;1998
38;"Dodge";"USA";"USA";"Intrepid";88.028;"30.000 and more";"80.000 up to 100.000";12.275;"PKW";22.505;"20.000 up to 30.000";2.7;202;"155-210 PS";113;189.738;203.7;3.489;7.055;1997
39;"Dodge";"USA";"USA";"Ram Wagon";16.767;"Up to 30.000";"10.000 up to 20.000";15.51;"SUV";21.315;"20.000 up to 30.000";3.9;175;"155-210 PS";109.6;200.152;192.6;4.245;5.525;1971
40;"Dodge";"USA";"USA";"Stratus";71.186;"30.000 and more";"60.000 up to 80.000";10.185;"PKW";20.23;"20.000 up to 30.000";2.5;168;"155-210 PS";108;180.34;186;3.058;5.78;1995
41;"Dodge";"USA";"USA";"Caravan";181.749;"30.000 and more";"100.000 and more";12.025;"SUV";19.565;"Up to 20.000";2.4;150;"unter 155 PS";113.3;195.072;186.3;3.533;4.76;1995
42;"Dodge";"USA";"USA";"Ram Pickup";227.061;"30.000 and more";"100.000 and more";15.06;"SUV";19.46;"Up to 20.000";5.2;230;"mehr als 210 PS";138.7;201.422;224.2;4.47;4.08;1990
43;"Dodge";"USA";"USA";"Avenger";4.734;"Up to 30.000";"Up to 5.000";12.545;"PKW";19.045;"Up to 20.000";2.5;163;"155-210 PS";103.7;175.514;190.2;2.879;5.61;1995
44;"Dodge";"USA";"USA";"Ram Van";31.038;"30.000 and more";"30.000 up to 40.000";13.425;"SUV";18.575;"Up to 20.000";3.9;175;"155-210 PS";127.2;200.152;208.5;4.298;6.715;1971
45;"Dodge";"USA";"USA";"Neon";76.034;"30.000 and more";"60.000 up to 80.000";7.75;"PKW";12.64;"Up to 20.000";2;132;"unter 155 PS";105;188.976;174.4;2.567;7.395;1999
46;"Ford";"USA";"USA";"Expedition";125.338;"30.000 and more";"100.000 and more";23.575;"SUV";36.135;"30.000 and more";4.6;240;"mehr als 210 PS";119;199.898;204.6;4.808;6.715;1997
47;"Ford";"USA";"USA";"Explorer";276.747;"30.000 and more";"100.000 and more";16.64;"SUV";31.93;"30.000 and more";4;210;"mehr als 210 PS";111.6;178.308;190.7;3.876;6.715;1995
48;"Ford";"USA";"USA";"F-Series";80.62;"30.000 and more";"80.000 up to 100.000";15.075;"SUV";26.935;"20.000 up to 30.000";4.6;220;"mehr als 210 PS";138.5;200.914;224.5;4.241;5.865;1996
49;"Ford";"USA";"USA";"Crown Victoria";63.403;"30.000 and more";"60.000 up to 80.000";14.21;"PKW";22.195;"20.000 up to 30.000";4.6;200;"155-210 PS";114.7;198.628;212;3.908;6.97;1997
50;"Ford";"USA";"USA";"Mustang";113.369;"30.000 and more";"100.000 and more";12.76;"PKW";21.56;"20.000 up to 30.000";3.8;190;"155-210 PS";101.3;185.674;183.2;3.203;5.78;1994
51;"Ford";"USA";"USA";"Windstar";155.787;"30.000 and more";"100.000 and more";13.175;"SUV";21.41;"20.000 up to 30.000";3;150;"unter 155 PS";120.7;194.564;200.9;3.761;5.695;1999
52;"Ford";"USA";"USA";"Taurus";245.815;"30.000 and more";"100.000 and more";10.055;"PKW";17.885;"Up to 20.000";3;155;"155-210 PS";108.5;185.42;197.6;3.368;3.91;1995
53;"Ford";"USA";"USA";"Contour";35.068;"30.000 and more";"30.000 up to 40.000";8.835;"PKW";17.035;"Up to 20.000";2.5;170;"155-210 PS";106.5;175.514;184.6;2.769;5.695;1994
54;"Ford";"USA";"USA";"Focus";175.67;"30.000 and more";"100.000 and more";Auto;"PKW";12.315;"Up to 20.000";2;107;"unter 155 PS";103;169.926;174.8;2.564;5.185;1998
55;"Ford";"USA";"USA";"Escort";70.227;"30.000 and more";"60.000 up to 80.000";7.425;"PKW";12.07;"Up to 20.000";2;110;"unter 155 PS";98.4;170.18;174.7;2.468;6.12;1995
56;"Ford";"USA";"USA";"Ranger";220.65;"30.000 and more";"100.000 and more";7.85;"SUV";12.05;"Up to 20.000";2.5;119;"unter 155 PS";117.5;176.276;200.7;3.086;4.25;1998
57;"Honda";"Japan";"Asia";"Passport";12.855;"Up to 30.000";"10.000 up to 20.000";17.525;"SUV";26.6;"20.000 up to 30.000";3.2;205;"155-210 PS";106.4;178.816;178.2;3.857;4.505;1998
58;"Honda";"Japan";"Asia";"Odyssey";76.029;"30.000 and more";"60.000 up to 80.000";19.49;"SUV";26;"20.000 up to 30.000";3.5;210;"mehr als 210 PS";118.1;192.024;201.2;4.288;5.95;1995
59;"Honda";"Japan";"Asia";"CR-V";73.203;"30.000 and more";"60.000 up to 80.000";17.71;"SUV";20.55;"20.000 up to 30.000";2;146;"unter 155 PS";103.2;175.006;177.6;3.219;6.29;1996
60;"Honda";"Japan";"Asia";"Accord";230.902;"30.000 and more";"100.000 and more";13.21;"PKW";15.35;"Up to 20.000";2.3;135;"unter 155 PS";106.9;178.562;188.8;2.932;6.8;1997
61;"Honda";"Japan";"Asia";"Civic";199.685;"30.000 and more";"100.000 and more";9.85;"PKW";12.885;"Up to 20.000";1.6;106;"unter 155 PS";103.2;170.434;175.1;2.339;4.25;1995
62;"Hyundai";"Other";"Asia";"Sonata";29.45;"Up to 30.000";"20.000 up to 30.000";8.91;"PKW";14.999;"Up to 20.000";2.4;148;"unter 155 PS";106.3;181.864;185.4;3.072;5.44;1998
63;"Hyundai";"Other";"Asia";"Elantra";66.692;"30.000 and more";"60.000 up to 80.000";7.825;"PKW";11.799;"Up to 20.000";2;140;"unter 155 PS";100.4;169.926;174;2.626;6.29;2000
64;"Hyundai";"Other";"Asia";"Accent";41.184;"30.000 and more";"40.000 up to 60.000";5.86;"PKW";9.699;"Up to 20.000";1.5;92;"unter 155 PS";96.1;166.878;166.7;2.24;5.185;1994
65;"Infiniti";"USA";"USA";"I30";23.713;"Up to 30.000";"20.000 up to 30.000";19.69;"PKW";29.465;"20.000 up to 30.000";3;227;"mehr als 210 PS";108.3;178.308;193.7;3.342;4.93;1999
66;"Jaguar";"Other";"Europe";"S-Type";15.467;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";42.8;"30.000 and more";3;240;"mehr als 210 PS";114.5;181.864;191.3;3.65;6.035;1999
67;"Jeep";"USA";"USA";"Grand Cherokee";157.04;"30.000 and more";"100.000 and more";18.81;"SUV";26.895;"20.000 up to 30.000";4;195;"155-210 PS";105.9;183.642;181.5;3.88;7.735;1999
68;"Jeep";"USA";"USA";"Cherokee";80.556;"30.000 and more";"80.000 up to 100.000";13.775;"SUV";21.62;"20.000 up to 30.000";4;190;"155-210 PS";101.4;176.276;167.5;3.194;7.48;1984
69;"Jeep";"USA";"USA";"Wrangler";55.557;"30.000 and more";"40.000 up to 60.000";13.475;"SUV";14.46;"Up to 20.000";2.5;120;"unter 155 PS";93.4;169.418;152;3.045;5.95;1997
70;"Lexus";"Japan";"Asia";"LX470";9.126;"Up to 30.000";"5.000 up to 10.000";Auto;"SUV";60.105;"30.000 and more";4.7;230;"mehr als 210 PS";112.2;194.056;192.5;5.401;6.29;1998
71;"Lexus";"Japan";"Asia";"LS400";6.375;"Up to 30.000";"5.000 up to 10.000";40.375;"PKW";54.005;"30.000 and more";4;290;"mehr als 210 PS";112.2;182.88;196.7;3.89;5.355;1994
72;"Lexus";"Japan";"Asia";"GS400";3.334;"Up to 30.000";"Up to 5.000";Auto;"PKW";46.305;"30.000 and more";4;300;"mehr als 210 PS";110.2;180.086;189.2;3.693;6.8;1997
73;"Lexus";"Japan";"Asia";"GS300";12.698;"Up to 30.000";"10.000 up to 20.000";32.075;"PKW";37.805;"30.000 and more";3;225;"mehr als 210 PS";110.2;180.086;189.2;3.638;5.865;1991
74;"Lexus";"Japan";"Asia";"RX300";51.238;"30.000 and more";"40.000 up to 60.000";Auto;"SUV";34.605;"30.000 and more";3;220;"mehr als 210 PS";103;181.61;180.1;3.9;5.525;1997
75;"Lexus";"Japan";"Asia";"ES300";24.072;"Up to 30.000";"20.000 up to 30.000";26.975;"PKW";31.505;"30.000 and more";3;210;"mehr als 210 PS";105.1;179.07;190.2;3.373;5.015;1996
76;"Lincoln";"USA";"USA";"Town car";48.911;"30.000 and more";"40.000 up to 60.000";21.725;"PKW";43.33;"30.000 and more";4.6;215;"mehr als 210 PS";117.7;198.628;215.3;4.121;7.48;1998
77;"Lincoln";"USA";"USA";"Navigator";22.925;"Up to 30.000";"20.000 up to 30.000";Auto;"SUV";42.66;"30.000 and more";5.4;300;"mehr als 210 PS";119;202.946;204.8;5.393;4.93;1997
78;"Lincoln";"USA";"USA";"Continental";13.798;"Up to 30.000";"10.000 up to 20.000";20.525;"PKW";39.08;"30.000 and more";4.6;275;"mehr als 210 PS";109;186.944;208.5;3.868;4.505;1997
79;"Mercedes-Benz";"Germany";"Europe";"CL500";0.954;"Up to 30.000";"Up to 5.000";Auto;"PKW";85.5;"30.000 and more";5;302;"mehr als 210 PS";113.6;185.674;196.6;4.115;4.845;1996
80;"Mercedes-Benz";"Germany";"Europe";"SL-Class";3.311;"Up to 30.000";"Up to 5.000";58.6;"PKW";82.6;"30.000 and more";5;302;"mehr als 210 PS";99;181.102;177.1;4.125;4.76;1995
81;"Mercedes-Benz";"Germany";"Europe";"S-Class";16.774;"Up to 30.000";"10.000 up to 20.000";50.375;"PKW";69.7;"30.000 and more";4.3;275;"mehr als 210 PS";121.5;185.674;203.1;4.133;5.185;1998
82;"Mercedes-Benz";"Germany";"Europe";"E-Class";27.602;"Up to 30.000";"20.000 up to 30.000";41.45;"PKW";49.9;"30.000 and more";3.2;221;"mehr als 210 PS";111.5;179.832;189.4;3.823;4.335;1995
83;"Mercedes-Benz";"Germany";"Europe";"CLK Coupe";11.592;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";41.6;"30.000 and more";3.2;215;"mehr als 210 PS";105.9;172.212;180.3;3.213;4.59;1997
84;"Mercedes-Benz";"Germany";"Europe";"SLK230";1.526;"Up to 30.000";"Up to 5.000";Auto;"PKW";41;"30.000 and more";2.3;185;"155-210 PS";94.5;171.45;157.3;2.975;6.035;1996
85;"Mercedes-Benz";"Germany";"Europe";"SLK";7.998;"Up to 30.000";"5.000 up to 10.000";Auto;"PKW";38.9;"30.000 and more";2.3;190;"155-210 PS";94.5;171.45;157.9;3.055;5.44;1996
86;"Mercedes-Benz";"Germany";"Europe";"M-Class";28.976;"Up to 30.000";"20.000 up to 30.000";Auto;"SUV";35.3;"30.000 and more";3.2;215;"mehr als 210 PS";111;183.388;180.6;4.387;3.145;1997
87;"Mercedes-Benz";"Germany";"Europe";"C-Class";18.392;"Up to 30.000";"10.000 up to 20.000";26.05;"PKW";31.75;"30.000 and more";2.3;185;"155-210 PS";105.9;171.958;177.4;3.25;5.185;1996
88;"Mercury";"USA";"USA";"Mountaineer";27.609;"Up to 30.000";"20.000 up to 30.000";20.43;"SUV";27.56;"20.000 up to 30.000";4;210;"mehr als 210 PS";111.6;178.308;190.1;3.876;4.76;1996
89;"Mercury";"USA";"USA";"Grand Marquis";81.174;"30.000 and more";"80.000 up to 100.000";14.875;"PKW";22.605;"20.000 up to 30.000";4.6;200;"155-210 PS";114.7;198.628;212;3.958;3.23;1997
90;"Mercury";"USA";"USA";"Villager";20.38;"Up to 30.000";"20.000 up to 30.000";14.795;"SUV";22.51;"20.000 up to 30.000";3.3;170;"155-210 PS";112.2;190.246;194.7;3.944;6.8;1999
91;"Mercury";"USA";"USA";"Sable";67.956;"30.000 and more";"60.000 up to 80.000";11.03;"PKW";19.035;"Up to 20.000";3;153;"unter 155 PS";108.5;185.42;199.7;3.379;6.545;1995
92;"Mercury";"USA";"USA";"Cougar";26.529;"Up to 30.000";"20.000 up to 30.000";13.89;"PKW";16.54;"Up to 20.000";2;125;"unter 155 PS";106.4;176.784;185;2.892;5.95;1998
93;"Mercury";"USA";"USA";"Mystique";14.351;"Up to 30.000";"10.000 up to 20.000";8.8;"PKW";16.24;"Up to 20.000";2;125;"unter 155 PS";106.5;175.514;184.8;2.769;6.97;1997
94;"Mitsubishi";"Japan";"Asia";"Montero";11.337;"Up to 30.000";"10.000 up to 20.000";19.125;"SUV";31.807;"30.000 and more";3.5;200;"155-210 PS";107.3;177.546;186.6;4.52;5.695;2000
95;"Mitsubishi";"Japan";"Asia";"3000GT";0.11;"Up to 30.000";"Up to 5.000";20.94;"PKW";25.45;"20.000 up to 30.000";3;161;"155-210 PS";97.2;183.896;180.3;3.131;3.825;1994
96;"Mitsubishi";"Japan";"Asia";"Diamante";5.711;"Up to 30.000";"5.000 up to 10.000";16.575;"PKW";24.997;"20.000 up to 30.000";3.5;210;"mehr als 210 PS";107.1;178.562;194.1;3.443;5.865;1996
97;"Mitsubishi";"Japan";"Asia";"Montero Sport";39.348;"30.000 and more";"30.000 up to 40.000";13.88;"SUV";22.527;"20.000 up to 30.000";3;173;"155-210 PS";107.3;169.418;178.3;3.51;3.315;1995
98;"Mitsubishi";"Japan";"Asia";"Eclipse";42.541;"30.000 and more";"40.000 up to 60.000";10.395;"PKW";19.047;"Up to 20.000";2.4;154;"unter 155 PS";100.8;175.006;175.4;2.91;5.695;2000
99;"Mitsubishi";"Japan";"Asia";"Galant";55.616;"30.000 and more";"40.000 up to 60.000";10.595;"PKW";17.357;"Up to 20.000";2.4;145;"unter 155 PS";103.7;173.99;187.8;2.945;4.93;1996
100;"Mitsubishi";"Japan";"Asia";"Mirage";26.232;"Up to 30.000";"20.000 up to 30.000";8.325;"PKW";13.987;"Up to 20.000";1.8;113;"unter 155 PS";98.4;168.91;173.6;2.25;4.93;1991
101;"Nissan";"Japan";"Asia";"Pathfinder";42.574;"30.000 and more";"40.000 up to 60.000";17.81;"SUV";29.299;"20.000 up to 30.000";3.3;170;"155-210 PS";106.3;182.118;182.6;3.947;5.95;1995
102;"Nissan";"Japan";"Asia";"Quest";27.308;"Up to 30.000";"20.000 up to 30.000";15.38;"SUV";26.399;"20.000 up to 30.000";3.3;170;"155-210 PS";112.2;190.246;194.8;3.991;5.015;1999
103;"Nissan";"Japan";"Asia";"Maxima";79.853;"30.000 and more";"60.000 up to 80.000";15.125;"PKW";26.249;"20.000 up to 30.000";3;222;"mehr als 210 PS";108.3;178.562;190.5;3.294;3.74;1995
104;"Nissan";"Japan";"Asia";"Xterra";54.158;"30.000 and more";"40.000 up to 60.000";Auto;"SUV";22.799;"20.000 up to 30.000";3.3;170;"155-210 PS";104.3;178.816;178;3.821;6.12;2000
105;"Nissan";"Japan";"Asia";"Altima";88.094;"30.000 and more";"80.000 up to 100.000";11.295;"PKW";20.39;"20.000 up to 30.000";2.4;155;"155-210 PS";103.1;175.514;183.5;3.012;3.91;1997
106;"Nissan";"Japan";"Asia";"Frontier";65.005;"30.000 and more";"60.000 up to 80.000";Auto;"SUV";17.89;"Up to 20.000";3.3;170;"155-210 PS";116.1;168.91;196.1;3.217;4.675;1998
107;"Nissan";"Japan";"Asia";"Sentra";42.643;"30.000 and more";"40.000 up to 60.000";8.45;"PKW";13.499;"Up to 20.000";1.8;126;"unter 155 PS";99.8;170.942;177.5;2.593;5.78;1998
108;"Oldsmobile";"USA";"USA";"Aurora";14.69;"Up to 30.000";"10.000 up to 20.000";19.89;"PKW";36.229;"30.000 and more";4;250;"mehr als 210 PS";113.8;188.976;205.4;3.967;6.035;1999
109;"Oldsmobile";"USA";"USA";"Bravada";20.017;"Up to 30.000";"20.000 up to 30.000";19.925;"SUV";31.598;"30.000 and more";4.3;190;"155-210 PS";107;172.212;181.2;4.068;3.74;1997
110;"Oldsmobile";"USA";"USA";"Silhouette";24.361;"Up to 30.000";"20.000 up to 30.000";15.24;"SUV";25.345;"20.000 up to 30.000";3.4;185;"155-210 PS";120;183.388;201.4;3.948;5.44;1996
111;"Oldsmobile";"USA";"USA";"Intrigue";38.554;"30.000 and more";"30.000 up to 40.000";Auto;"PKW";24.15;"20.000 up to 30.000";3.5;215;"mehr als 210 PS";109;186.944;195.9;3.455;4.505;1997
112;"Oldsmobile";"USA";"USA";"Alero";80.255;"30.000 and more";"80.000 up to 100.000";Auto;"PKW";18.27;"Up to 20.000";2.4;150;"unter 155 PS";107;178.054;186.7;2.958;4.42;1998
113;"Oldsmobile";"USA";"USA";"Cutlass";1.112;"Up to 30.000";"Up to 5.000";11.24;"PKW";18.145;"Up to 20.000";3.1;150;"unter 155 PS";107;176.276;192;3.102;5.695;1997
114;"Plymouth";"USA";"USA";"Prowler";1.872;"Up to 30.000";"Up to 5.000";Auto;"PKW";43;"30.000 and more";3.5;253;"mehr als 210 PS";113.3;193.802;165.4;2.85;5.015;1997
115;"Plymouth";"USA";"USA";"Voyager";24.155;"Up to 30.000";"20.000 up to 30.000";12.025;"SUV";18.85;"Up to 20.000";2.4;150;"unter 155 PS";113.3;195.072;186.3;3.528;5.525;1996
116;"Plymouth";"USA";"USA";"Breeze";5.24;"Up to 30.000";"5.000 up to 10.000";9.8;"PKW";16.08;"Up to 20.000";2;132;"unter 155 PS";108;180.34;186.3;2.942;6.885;1996
117;"Plymouth";"USA";"USA";"Neon";32.734;"30.000 and more";"30.000 up to 40.000";7.75;"PKW";12.64;"Up to 20.000";2;132;"unter 155 PS";105;188.976;174.4;2.559;6.375;1999
118;"Pontiac";"USA";"USA";"Montana";39.572;"30.000 and more";"30.000 up to 40.000";Auto;"SUV";25.635;"20.000 up to 30.000";3.4;185;"155-210 PS";120;184.658;201.3;3.942;4.59;1999
119;"Pontiac";"USA";"USA";"Firebird";19.911;"Up to 30.000";"10.000 up to 20.000";17.805;"PKW";25.31;"20.000 up to 30.000";3.8;200;"155-210 PS";101.1;189.23;193.4;3.492;4.93;1998
120;"Pontiac";"USA";"USA";"Bonneville";35.945;"30.000 and more";"30.000 up to 40.000";13.225;"PKW";23.755;"20.000 up to 30.000";3.8;205;"155-210 PS";112.2;184.404;202.5;3.59;3.315;1987
121;"Pontiac";"USA";"USA";"Grand Prix";92.364;"30.000 and more";"80.000 up to 100.000";14.01;"PKW";21.665;"20.000 up to 30.000";3.8;195;"155-210 PS";110.5;184.658;196.5;3.396;6.29;1996
122;"Pontiac";"USA";"USA";"Sunfire";51.645;"30.000 and more";"40.000 up to 60.000";13.79;"PKW";21.61;"20.000 up to 30.000";2.4;150;"unter 155 PS";104.1;173.736;181.9;2.906;4.845;1996
123;"Pontiac";"USA";"USA";"Grand Am";131.097;"30.000 and more";"100.000 and more";10.29;"PKW";19.72;"Up to 20.000";3.4;175;"155-210 PS";107;178.816;186.3;3.091;5.185;1998
124;"Porsche";"Germany";"Europe";"Carrera Cabriolet";1.866;"Up to 30.000";"Up to 5.000";67.55;"PKW";74.97;"30.000 and more";3.4;300;"mehr als 210 PS";92.6;176.53;174.5;3.075;4.165;1997
125;"Porsche";"Germany";"Europe";"Carrera Coupe";1.28;"Up to 30.000";"Up to 5.000";60.625;"PKW";71.02;"30.000 and more";3.4;300;"mehr als 210 PS";92.6;176.53;174.5;3.032;7.735;1997
126;"Porsche";"Germany";"Europe";"Boxter";8.982;"Up to 30.000";"5.000 up to 10.000";41.25;"PKW";41.43;"30.000 and more";2.7;217;"mehr als 210 PS";95.2;178.054;171;2.778;2.805;1996
127;"Saab";"Other";"Europe";"9-5";9.191;"Up to 30.000";"5.000 up to 10.000";Auto;"PKW";33.12;"30.000 and more";2.3;170;"155-210 PS";106.4;179.324;189.2;3.28;4.76;1999
128;"Saab";"Other";"Europe";"9-3";12.115;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";26.1;"20.000 up to 30.000";2;185;"155-210 PS";102.6;171.196;182.2;2.99;5.95;1998
129;"Saturn";"USA";"USA";"LW";8.472;"Up to 30.000";"5.000 up to 10.000";Auto;"PKW";18.835;"Up to 20.000";2.2;137;"unter 155 PS";106.5;175.26;190.4;3.075;8.415;1999
