"","x"
"290","3"
"291","8"
"292","5"
"293","13"
"294","17"
"295","19"
"296","6"
"297","11"
"298","4"
"299","14"
"300","19"
"301","15"
"302","18"
"303","16"
"304","15"
"305","18"
"306","2"
"307","13"
"308","10"
"309","13"
"310","15"
"311","13"
"312","10"
"313","2"
"314","8"
"315","14"
"316","5"
"317","4"
"318","13"
"319","5"
"320","19"
"321","13"
"322","11"
"323","2"
"324","7"
"325","15"
"326","6"
"327","5"
"328","15"
"329","18"
"330","12"
"331","3"
"332","20"
"333","8"
"334","17"
"335","19"
"336","9"
"337","16"
"338","2"
"339","15"
"340","9"
"341","5"
"342","14"
"343","18"
"344","11"
"345","13"
"346","16"
"347","11"
"348","4"
"349","1"
"350","9"
"351","14"
"352","15"
"353","4"
"354","9"
"355","3"
"356","8"
"357","14"
"358","4"
"359","17"
"360","4"
"361","17"
"362","14"
"363","8"
"364","14"
"365","15"
"366","10"
"367","8"
"368","12"
"369","19"
"370","6"
"371","20"
"372","15"
"373","12"
"374","1"
"375","3"
"376","18"
"377","16"
"378","1"
"379","14"
"380","20"
"381","16"
"382","18"
"383","7"
"384","3"
"385","20"
"386","15"
"387","4"
"388","16"
"389","7"
"390","3"
"391","1"
"392","8"
"393","14"
"394","2"
"395","14"
"396","14"
"397","17"
"398","10"
"399","7"
"400","5"
"401","17"
"402","16"
"403","16"
"404","9"
"405","7"
"406","13"
"407","1"
"408","10"
"409","15"
"410","3"
"411","6"
"412","3"
"413","18"
"414","19"
"415","14"
"416","7"
"417","3"
"418","17"
"419","3"
"420","19"
"421","2"
"422","13"
"423","11"
"424","14"
"425","11"
"426","1"
"427","16"
"428","2"
"429","14"
"430","6"
"431","12"
"432","14"
"433","14"
"434","15"
"435","8"
"436","3"
"437","3"
"438","2"
"439","1"
"440","16"
"441","4"
"442","20"
"443","12"
"444","14"
"445","2"
"446","15"
"447","6"
"448","2"
"449","2"
"450","3"
"451","5"
"452","17"
"453","3"
"454","1"
"455","5"
"456","12"
"457","11"
"458","10"
"459","13"
"460","17"
"461","3"
"462","14"
"463","19"
"464","18"
"465","8"
"466","15"
"467","11"
"468","13"
"469","14"
"470","13"
"471","14"
"472","13"
"473","9"
"474","8"
"475","20"
"476","14"
"477","10"
"478","4"
"479","9"
"480","12"
"481","7"
"482","5"
"483","2"
"484","10"
"485","6"
"486","6"
"487","17"
"488","3"
"489","8"
"490","16"
"491","7"
"492","12"
"493","4"
"494","7"
"495","19"
"496","17"
"497","15"
"498","4"
"499","16"
"500","19"
"501","15"
"502","13"
"503","6"
"504","20"
"505","10"
"506","6"
"507","1"
"508","7"
"509","15"
"510","4"
"511","6"
"512","10"
"513","13"
"514","13"
"515","14"
"516","16"
"517","16"
"518","12"
"519","20"
"520","8"
"521","1"
"522","15"
"523","7"
"524","11"
"525","15"
"526","7"
"527","19"
"528","16"
"529","12"
"530","17"
"531","8"
"532","13"
"533","1"
"534","18"
"535","16"
"536","1"
"537","2"
"538","11"
"539","10"
"540","16"
"541","3"
"542","2"
"543","7"
"544","3"
"545","11"
"546","6"
"547","19"
"548","8"
"549","2"
"550","11"
"551","11"
"552","13"
"553","1"
"554","18"
"555","17"
"556","1"
"557","14"
"558","17"
"559","11"
"560","7"
"561","1"
"562","15"
"563","10"
"564","18"
"565","20"
"566","16"
"567","16"
"568","11"
"569","18"
"570","3"
"571","10"
"572","16"
"573","4"
"574","8"
"575","5"
"576","4"
"577","4"
"578","4"
"579","12"
"580","11"
"581","1"
"582","4"
"583","15"
"584","2"
"585","19"
"586","9"
"587","4"
"588","15"
"589","6"
"590","1"
"591","15"
"592","18"
"593","3"
"594","2"
"595","10"
"596","2"
"597","11"
"598","9"
"599","14"
"600","14"
"601","5"
"602","13"
"603","18"
"604","16"
"605","6"
"606","20"
"607","5"
"608","18"
"609","5"
"610","20"
"611","13"
"612","18"
"613","4"
"614","4"
"615","7"
"616","6"
"617","5"
"618","11"
"619","4"
"620","3"
"621","2"
"622","3"
"623","10"
"624","20"
"625","10"
"626","15"
"627","10"
"628","18"
"629","5"
"630","9"
"631","2"
"632","15"
"633","8"
"634","8"
"635","14"
"636","8"
"637","16"
"638","14"
"639","1"
"640","3"
"641","6"
"642","1"
"643","11"
"644","4"
"645","14"
"646","6"
"647","3"
"648","18"
"649","9"
"650","15"
"651","12"
"652","10"
"653","16"
"654","1"
"655","13"
"656","1"
"657","3"
"658","5"
"659","16"
"660","9"
"661","13"
"662","18"
"663","7"
"664","3"
"665","6"
"666","5"
"667","1"
"668","20"
"669","20"
"670","3"
"671","1"
"672","7"
"673","3"
"674","8"
"675","18"
"676","2"
"677","15"
"678","10"
"679","16"
"680","9"
"681","5"
"682","9"
"683","2"
"684","5"
"685","14"
"686","18"
"687","9"
"688","10"
"689","17"
"690","18"
"691","8"
"692","8"
"693","10"
"694","1"
"695","6"
"696","11"
"697","12"
"698","12"
"699","2"
"700","18"
"701","18"
"702","5"
"703","4"
"704","19"
"705","12"
"706","13"
"707","14"
"708","1"
"709","19"
"710","12"
"711","16"
"712","2"
"713","2"
"714","6"
"715","3"
"716","1"
"717","13"
"718","6"
"719","9"
"720","20"
"721","3"
"722","13"
"723","12"
"724","20"
"725","11"
"726","6"
"727","12"
"728","4"
"729","11"
"730","4"
"731","5"
"732","10"
"733","4"
"734","10"
"735","14"
"736","19"
"737","10"
"738","17"
"739","18"
"740","13"
"741","14"
"742","4"
"743","12"
"744","4"
"745","8"
"746","13"
"747","10"
"748","20"
"749","17"
"750","16"
"751","11"
"752","12"
"753","5"
"754","17"
"755","13"
"756","19"
"757","4"
"758","2"
"759","13"
"760","4"
"761","16"
"762","9"
"763","9"
"764","10"
"765","19"
"766","1"
"767","9"
"768","1"
"769","4"
"770","16"
"771","9"
"772","1"
"773","2"
"774","17"
"775","10"
"776","14"
"777","12"
"778","17"
"779","11"
"780","3"
"781","16"
"782","17"
"783","12"
"784","13"
"785","8"
"786","6"
"787","7"
"788","16"
"789","15"
"790","17"
"791","1"
"792","13"
"793","20"
"794","15"
"795","17"
"796","9"
"797","13"
"798","7"
"799","18"
"800","19"
"801","17"
"802","14"
"803","11"
"804","3"
"805","12"
"806","7"
"807","11"
"808","12"
"809","10"
"810","6"
"811","10"
"812","11"
"813","2"
"814","2"
"815","2"
"816","18"
"817","19"
"818","18"
"819","1"
"820","15"
"821","7"
"822","5"
"823","10"
"824","3"
"825","10"
"826","14"
"827","1"
"828","18"
"829","14"
"830","17"
"831","15"
"832","13"
"833","6"
"834","17"
"835","11"
"836","10"
"837","15"
"838","15"
"839","18"
"840","6"
"841","10"
"842","10"
"843","13"
"844","8"
"845","1"
"846","12"
"847","19"
"848","12"
"849","9"
"850","15"
"851","20"
"852","9"
"853","6"
"854","7"
"855","8"
"856","11"
"857","1"
"858","18"
"859","4"
"860","16"
"861","20"
"862","11"
"863","13"
"864","7"
"865","12"
"866","11"
"867","7"
"868","10"
"869","6"
"870","18"
"871","16"
"872","17"
"873","19"
"874","3"
"875","4"
"876","12"
"877","1"
"878","19"
"879","16"
"880","3"
"881","19"
"882","10"
"883","3"
"884","5"
"885","17"
"886","14"
"887","3"
"888","18"
"889","16"
"890","20"
"891","20"
"892","18"
"893","6"
"894","8"
"895","20"
"896","1"
"897","15"
"898","10"
"899","14"
"900","4"
"901","13"
"902","1"
"903","1"
"904","2"
"905","11"
"906","4"
"907","2"
"908","6"
"909","3"
"910","18"
"911","13"
"912","19"
"913","12"
"914","8"
"915","16"
"916","10"
"917","18"
"918","18"
"919","1"
"920","11"
"921","13"
"922","13"
"923","18"
"924","17"
"925","7"
"926","18"
"927","10"
"928","8"
"929","1"
"930","15"
"931","11"
"932","6"
"933","9"
"934","7"
"935","13"
"936","8"
"937","8"
"938","9"
"939","13"
"940","15"
"941","6"
"942","2"
"943","6"
"944","10"
"945","13"
"946","11"
"947","18"
"948","12"
"949","14"
"950","2"
"951","6"
"952","14"
"953","6"
"954","8"
"955","8"
"956","13"
"957","10"
"958","7"
"959","6"
"960","11"
"961","4"
"962","5"
"963","18"
"964","7"
"965","5"
"966","10"
"967","7"
"968","16"
"969","7"
"970","7"
"971","4"
"972","20"
"973","2"
"974","1"
"975","4"
"976","5"
"977","9"
"978","6"
"979","6"
"980","8"
"981","15"
"982","9"
"983","2"
"984","6"
"985","11"
"986","10"
"987","9"
"988","2"
"989","16"
"990","7"
"991","9"
"992","9"
"993","6"
"994","1"
"995","19"
"996","9"
"997","3"
"998","8"
"999","8"
"1000","7"
"1001","3"
"1002","4"
"1003","10"
"1004","7"
"1005","16"
"1006","14"
"1007","1"
"1008","5"
"1009","20"
"1010","4"
"1011","12"
"1012","19"
"1013","6"
"1014","15"
"1015","11"
"1016","16"
"1017","6"
"1018","2"
"1019","6"
"1020","3"
"1021","10"
"1022","11"
"1023","10"
"1024","5"
"1025","1"
"1026","18"
"1027","3"
"1028","1"
"1029","6"
"1030","2"
"1031","8"
"1032","11"
"1033","20"
"1034","2"
"1035","12"
"1036","5"
"1037","19"
"1038","5"
"1039","3"
"1040","2"
"1041","17"
"1042","19"
"1043","5"
"1044","4"
"1045","12"
"1046","8"
"1047","18"
"1048","10"
"1049","20"
"1050","15"
"1051","14"
"1052","17"
"1053","14"
"1054","12"
"1055","17"
"1056","7"
"1057","1"
"1058","4"
"1059","15"
"1060","13"
"1061","17"
"1062","17"
"1063","4"
"1064","1"
"1065","13"
"1066","7"
"1067","7"
"1068","18"
"1069","19"
"1070","17"
"1071","11"
"1072","20"
"1073","10"
"1074","10"
"1075","9"
"1076","16"
"1077","10"
"1078","10"
"1079","18"
"1080","9"
"1081","13"
"1082","9"
"1083","14"
"1084","13"
"1085","5"
"1086","11"
"1087","10"
"1088","11"
"1089","7"
"1090","10"
"1091","9"
"1092","17"
"1093","4"
"1094","19"
"1095","11"
"1096","3"
"1097","20"
"1098","5"
"1099","6"
"1100","12"
"1101","17"
"1102","17"
"1103","20"
"1104","16"
"1105","16"
"1106","19"
"1107","14"
"1108","8"
"1109","19"
"1110","15"
"1111","14"
"1112","18"
"1113","14"
"1114","10"
"1115","18"
"1116","12"
"1117","12"
"1118","15"
"1119","1"
"1120","1"
"1121","20"
"1122","7"
"1123","2"
"1124","8"
"1125","18"
"1126","17"
"1127","13"
"1128","3"
"1129","3"
"1130","5"
"1131","5"
"1132","7"
"1133","19"
"1134","6"
"1135","20"
"1136","3"
"1137","19"
"1138","17"
"1139","8"
"1140","16"
"1141","5"
"1142","19"
"1143","2"
"1144","6"
"1145","4"
"1146","16"
"1147","1"
"1148","15"
"1149","12"
"1150","1"
"1151","7"
"1152","10"
"1153","9"
"1154","19"
"1155","12"
"1156","2"
"1157","2"
"1158","11"
"1159","2"
"1160","16"
"1161","18"
"1162","19"
"1163","7"
"1164","20"
"1165","12"
"1166","10"
"1167","8"
"1168","8"
"1169","6"
"1170","9"
"1171","20"
"1172","19"
"1173","15"
"1174","5"
"1175","3"
"1176","11"
"1177","18"
"1178","14"
"1179","17"
"1180","7"
"1181","15"
"1182","4"
"1183","12"
"1184","3"
"1185","12"
"1186","15"
"1187","13"
"1188","7"
"1189","8"
"1190","13"
"1191","19"
"1192","11"
"1193","4"
"1194","19"
"1195","14"
"1196","4"
"1197","10"
"1198","7"
"1199","20"
"1200","11"
"1201","18"
"1202","16"
"1203","2"
"1204","18"
"1205","19"
"1206","13"
"1207","5"
"1208","7"
"1209","10"
"1210","9"
"1211","6"
"1212","13"
"1213","6"
"1214","5"
"1215","2"
"1216","15"
"1217","2"
"1218","16"
"1219","17"
"1220","12"
"1221","13"
"1222","17"
"1223","9"
"1224","20"
"1225","2"
"1226","1"
"1227","18"
"1228","1"
"1229","13"
"1230","12"
"1231","10"
"1232","18"
"1233","14"
"1234","16"
"1235","11"
"1236","12"
"1237","18"
"1238","7"
"1239","13"
"1240","7"
"1241","11"
"1242","9"
"1243","5"
"1244","2"
"1245","18"
"1246","9"
"1247","14"
"1248","11"
"1249","8"
"1250","8"
"1251","7"
"1252","15"
"1253","3"
"1254","5"
"1255","9"
"1256","16"
"1257","11"
"1258","11"
"1259","2"
"1260","14"
"1261","4"
"1262","13"
"1263","11"
"1264","8"
"1265","3"
"1266","13"
"1267","20"
"1268","1"
"1269","9"
"1270","14"
"1271","2"
"1272","19"
"1273","12"
"1274","17"
"1275","19"
"1276","6"
"1277","19"
"1278","17"
"1279","18"
"1280","13"
"1281","5"
"1282","18"
"1283","15"
"1284","20"
"1285","1"
"1286","2"
"1287","12"
"1288","19"
"1289","16"
"1290","16"
"1291","8"
"1292","20"
"1293","1"
"1294","4"
"1295","16"
"1296","15"
"1297","1"
"1298","12"
"1299","18"
"1300","6"
"1301","19"
"1302","3"
"1303","10"
"1304","9"
"1305","16"
"1306","5"
"1307","17"
"1308","19"
"1309","6"
"1310","12"
"1311","8"
"1312","9"
"1313","12"
"1314","14"
"1315","9"
"1316","14"
"1317","12"
"1318","4"
"1319","18"
"1320","17"
"1321","19"
"1322","9"
"1323","10"
"1324","8"
"1325","20"
"1326","12"
"1327","2"
"1328","16"
"1329","14"
"1330","17"
"1331","12"
"1332","10"
"1333","20"
"1334","7"
"1335","1"
"1336","8"
"1337","15"
"1338","20"
"1339","15"
"1340","20"
"1341","6"
"1342","10"
"1343","9"
"1344","4"
"1345","17"
"1346","5"
"1347","4"
"1348","1"
"1349","2"
"1350","17"
"1351","12"
"1352","4"
"1353","15"
"1354","4"
"1355","9"
"1356","7"
"1357","19"
"1358","5"
"1359","5"
"1360","7"
"1361","8"
"1362","17"
"1363","15"
"1364","13"
"1365","18"
"1366","10"
"1367","11"
"1368","18"
"1369","3"
"1370","12"
"1371","16"
"1372","15"
"1373","9"
"1374","1"
"1375","14"
"1376","17"
"1377","9"
"1378","10"
"1379","7"
"1380","14"
"1381","12"
"1382","3"
"1383","13"
"1384","12"
"1385","13"
"1386","14"
"1387","20"
"1388","6"
"1389","12"
"1390","7"
"1391","9"
"1392","19"
"1393","13"
"1394","19"
"1395","16"
"1396","11"
"1397","11"
"1398","16"
"1399","8"
"1400","11"
"1401","1"
"1402","3"
"1403","10"
"1404","1"
"1405","6"
"1406","19"
"1407","15"
"1408","16"
"1409","20"
"1410","18"
"1411","15"
"1412","10"
"1413","8"
"1414","9"
"1415","5"
"1416","19"
"1417","3"
"1418","2"
"1419","5"
"1420","16"
"1421","9"
"1422","7"
"1423","3"
"1424","1"
"1425","13"
"1426","19"
"1427","18"
"1428","7"
"1429","4"
"1430","4"
"1431","16"
"1432","1"
"1433","13"
"1434","1"
"1435","17"
"1436","15"
"1437","10"
"1438","13"
"1439","12"
"1440","14"
"1441","17"
"1442","20"
"1443","6"
"1444","12"
"1445","12"
"1446","13"
"1447","5"
"1448","15"
"1449","10"
"1450","11"
"1451","12"
"1452","11"
"1453","20"
"1454","17"
"1455","8"
"1456","20"
"1457","16"
"1458","3"
"1459","15"
"1460","12"
"1461","12"
"1462","17"
"1463","7"
"1464","16"
"1465","1"
"1466","17"
"1467","8"
"1468","16"
"1469","8"
"1470","1"
"1471","1"
"1472","9"
"1473","10"
"1474","1"
"1475","16"
"1476","12"
"1477","12"
"1478","1"
"1479","18"
"1480","11"
"1481","12"
"1482","9"
"1483","5"
"1484","13"
"1485","11"
"1486","14"
"1487","5"
"1488","1"
"1489","14"
"1490","3"
"1491","20"
"1492","13"
"1493","18"
"1494","13"
"1495","12"
"1496","2"
"1497","19"
"1498","13"
"1499","13"
"1500","7"
"1501","14"
"1502","12"
"1503","17"
"1504","18"
"1505","2"
"1506","20"
"1507","11"
"1508","8"
"1509","10"
"1510","15"
"1511","3"
"1512","16"
"1513","11"
"1514","20"
"1515","3"
"1516","12"
"1517","4"
"1518","5"
"1519","18"
"1520","13"
"1521","12"
"1522","16"
"1523","3"
"1524","15"
"1525","8"
"1526","15"
"1527","1"
"1528","8"
"1529","13"
"1530","13"
"1531","15"
"1532","6"
"1533","4"
"1534","10"
"1535","10"
"1536","19"
"1537","3"
"1538","10"
"1539","12"
"1540","16"
"1541","19"
"1542","11"
"1543","15"
"1544","7"
"1545","18"
"1546","8"
"1547","18"
"1548","9"
"1549","8"
"1550","19"
"1551","10"
"1552","20"
"1553","13"
"1554","6"
"1555","16"
"1556","13"
"1557","8"
"1558","7"
"1559","3"
"1560","15"
"1561","2"
"1562","7"
"1563","10"
"1564","2"
"1565","11"
"1566","15"
"1567","13"
"1568","6"
"1569","5"
"1570","11"
"1571","20"
"1572","11"
"1573","9"
"1574","3"
"1575","13"
"1576","14"
"1577","11"
"1578","8"
"1579","12"
"1580","20"
"1581","9"
"1582","12"
"1583","1"
"1584","17"
"1585","20"
"1586","20"
"1587","6"
"1588","12"
"1589","11"
"1590","20"
"1591","17"
"1592","8"
"1593","5"
"1594","3"
"1595","7"
"1596","15"
"1597","2"
"1598","12"
"1599","16"
"1600","11"
"1601","10"
"1602","13"
"1603","8"
"1604","8"
"1605","18"
"1606","1"
"1607","20"
"1608","7"
"1609","8"
"1610","14"
"1611","8"
"1612","3"
"1613","1"
"1614","16"
"1615","2"
"1616","14"
"1617","14"
"1618","8"
"1619","4"
"1620","10"
"1621","8"
"1622","19"
"1623","20"
"1624","13"
"1625","4"
"1626","19"
"1627","12"
"1628","15"
"1629","5"
"1630","2"
"1631","4"
"1632","19"
"1633","18"
"1634","4"
"1635","19"
"1636","7"
"1637","8"
"1638","7"
"1639","7"
"1640","16"
"1641","19"
"1642","2"
"1643","7"
"1644","10"
"1645","12"
"1646","9"
"1647","14"
"1648","2"
"1649","6"
"1650","20"
"1651","18"
"1652","5"
"1653","11"
"1654","11"
"1655","11"
"1656","20"
"1657","5"
"1658","10"
"1659","17"
"1660","19"
"1661","9"
"1662","18"
"1663","10"
"1664","12"
"1665","9"
"1666","20"
"1667","5"
"1668","13"
"1669","8"
"1670","19"
"1671","20"
"1672","3"
"1673","20"
"1674","20"
"1675","5"
"1676","6"
"1677","1"
"1678","15"
"1679","17"
"1680","9"
"1681","5"
"1682","5"
"1683","9"
"1684","5"
"1685","9"
"1686","12"
"1687","8"
"1688","5"
"1689","8"
"1690","20"
"1691","6"
"1692","15"
"1693","8"
"1694","5"
"1695","16"
"1696","19"
"1697","5"
"1698","16"
"1699","19"
"1700","11"
"1701","9"
"1702","20"
"1703","16"
"1704","12"
"1705","4"
"1706","7"
"1707","11"
"1708","4"
"1709","13"
"1710","7"
"1711","3"
"1712","3"
"1713","15"
"1714","5"
"1715","13"
"1716","12"
"1717","19"
"1718","7"
"1719","4"
"1720","17"
"1721","17"
"1722","15"
"1723","14"
"1724","8"
"1725","20"
"1726","8"
"1727","8"
"1728","18"
"1729","2"
"1730","14"
"1731","12"
"1732","17"
"1733","12"
"1734","18"
"1735","13"
"1736","3"
"1737","3"
"1738","8"
"1739","11"
"1740","19"
"1741","8"
"1742","14"
"1743","19"
"1744","15"
"1745","14"
"1746","20"
"1747","9"
"1748","10"
"1749","7"
"1750","6"
"1751","2"
"1752","10"
"1753","8"
"1754","15"
"1755","13"
"1756","17"
"1757","10"
"1758","10"
"1759","5"
"1760","14"
"1761","4"
"1762","18"
"1763","16"
"1764","1"
"1765","19"
"1766","5"
"1767","14"
"1768","19"
"1769","1"
"1770","2"
"1771","4"
"1772","20"
"1773","6"
"1774","16"
"1775","3"
"1776","14"
"1777","15"
"1778","8"
"1779","19"
"1780","2"
"1781","8"
"1782","8"
"1783","9"
"1784","2"
"1785","5"
"1786","19"
"1787","5"
"1788","15"
"1789","15"
"1790","4"
"1791","4"
"1792","11"
"1793","3"
"1794","2"
"1795","14"
"1796","3"
"1797","5"
"1798","12"
"1799","14"
"1800","1"
"1801","19"
"1802","6"
"1803","8"
"1804","17"
"1805","1"
"1806","20"
"1807","16"
"1808","1"
"1809","7"
"1810","20"
"1811","14"
"1812","9"
"1813","8"
"1814","7"
"1815","14"
"1816","13"
"1817","6"
"1818","2"
"1819","4"
"1820","11"
"1821","14"
"1822","16"
"1823","13"
"1824","11"
"1825","16"
"1826","18"
"1827","6"
"1828","18"
"1829","6"
"1830","7"
"1831","7"
"1832","15"
"1833","10"
"1834","13"
"1835","16"
"1836","19"
"1837","7"
"1838","1"
"1839","19"
"1840","9"
"1841","13"
"1842","13"
"1843","6"
"1844","18"
"1845","8"
"1846","8"
"1847","10"
"1848","4"
"1849","10"
"1850","20"
"1851","3"
"1852","3"
"1853","3"
"1854","4"
"1855","1"
"1856","6"
"1857","3"
"1858","5"
"1859","13"
"1860","10"
"1861","13"
"1862","19"
"1863","1"
"1864","1"
"1865","13"
"1866","4"
"1867","16"
"1868","5"
"1869","9"
"1870","8"
"1871","3"
"1872","20"
"1873","10"
"1874","12"
"1875","3"
"1876","7"
"1877","9"
"1878","20"
"1879","3"
"1880","16"
"1881","5"
"1882","14"
"1883","10"
"1884","11"
"1885","20"
"1886","7"
"1887","9"
"1888","9"
"1889","4"
"1890","3"
"1891","15"
"1892","19"
"1893","3"
"1894","14"
"1895","15"
"1896","15"
"1897","13"
"1898","4"
"1899","13"
"1900","7"
"1901","19"
"1902","1"
"1903","2"
"1904","12"
"1905","11"
"1906","7"
"1907","14"
"1908","12"
"1909","10"
"1910","13"
"1911","2"
"1912","15"
"1913","6"
"1914","4"
"1915","7"
"1916","13"
"1917","18"
"1918","11"
"1919","4"
"1920","6"
"1921","12"
"1922","1"
"1923","13"
"1924","12"
"1925","1"
"1926","12"
"1927","12"
"1928","15"
"1929","5"
"1930","2"
"1931","3"
"1932","13"
"1933","15"
"1934","13"
"1935","2"
"1936","13"
"1937","20"
"1938","12"
"1939","19"
"1940","5"
"1941","7"
"1942","2"
"1943","19"
"1944","5"
"1945","8"
"1946","8"
"1947","9"
"1948","10"
"1949","3"
"1950","18"
"1951","15"
"1952","13"
"1953","17"
"1954","14"
"1955","3"
"1956","20"
"1957","8"
"1958","6"
"1959","16"
"1960","14"
"1961","19"
"1962","6"
"1963","10"
"1964","1"
"1965","14"
"1966","20"
"1967","9"
"1968","16"
"1969","4"
"1970","18"
"1971","18"
"1972","12"
"1973","3"
"1974","16"
"1975","20"
"1976","6"
"1977","9"
"1978","4"
"1979","7"
"1980","15"
"1981","13"
"1982","1"
"1983","6"
"1984","10"
"1985","1"
"1986","13"
"1987","7"
"1988","11"
"1989","5"
"1990","6"
"1991","13"
"1992","9"
"1993","14"
"1994","14"
"1995","7"
"1996","13"
"1997","10"
"1998","8"
"1999","7"
"2000","15"
"2001","4"
"2002","4"
"2003","11"
"2004","10"
"2005","18"
"2006","19"
"2007","17"
"2008","7"
"2009","3"
"2010","18"
"2011","7"
"2012","1"
"2013","18"
"2014","11"
"2015","16"
"2016","18"
"2017","10"
"2018","11"
"2019","3"
"2020","2"
"2021","19"
"2022","10"
"2023","20"
"2024","19"
"2025","14"
"2026","17"
"2027","10"
"2028","4"
"2029","5"
"2030","1"
"2031","15"
"2032","9"
"2033","2"
"2034","10"
"2035","15"
"2036","20"
"2037","20"
"2038","7"
"2039","10"
"2040","10"
"2041","18"
"2042","1"
"2043","16"
"2044","12"
"2045","10"
"2046","20"
"2047","2"
"2048","2"
"2049","7"
"2050","19"
"2051","20"
"2052","18"
"2053","14"
"2054","1"
"2055","8"
"2056","2"
"2057","15"
"2058","10"
"2059","2"
"2060","16"
"2061","19"
"2062","3"
"2063","4"
"2064","2"
"2065","3"
"2066","19"
"2067","14"
"2068","1"
"2069","15"
"2070","8"
"2071","20"
"2072","19"
"2073","15"
"2074","15"
"2075","13"
"2076","8"
"2077","2"
"2078","15"
"2079","11"
"2080","13"
"2081","16"
"2082","12"
"2083","12"
"2084","4"
"2085","5"
"2086","20"
"2087","3"
"2088","10"
"2089","8"
"2090","7"
"2091","6"
"2092","4"
"2093","13"
"2094","13"
"2095","2"
"2096","17"
"2097","19"
"2098","8"
"2099","12"
"2100","9"
"2101","1"
"2102","19"
"2103","8"
"2104","17"
"2105","15"
"2106","4"
"2107","16"
"2108","19"
"2109","16"
"2110","14"
"2111","17"
"2112","13"
"2113","6"
"2114","20"
"2115","16"
"2116","19"
"2117","12"
"2118","20"
"2119","10"
"2120","12"
"2121","10"
"2122","13"
"2123","2"
"2124","15"
"2125","10"
"2126","11"
"2127","1"
"2128","1"
"2129","4"
"2130","8"
"2131","13"
"2132","15"
"2133","14"
"2134","11"
"2135","1"
"2136","3"
"2137","10"
"2138","15"
"2139","1"
"2140","20"
"2141","15"
